label,C,E,filteredDmvId,pairStart,Dmod30,P29Survivors,S17Survivors,tail1P29,tail2P29,tail4P29,firstBothG,trueK,K13_430Miss,K13_431Miss,fullCoverageBeforeRescue,verdict,legacyDmvId
boss,3889129261038184,7778258522076368,L|L / D24 / P29_BOSS / TAIL_STRONG / K13,L|L,24,582,757,31,60,118,17307,13.4309400510447,true,false,false,BOSS_ROW,3|5 / D24 / P29_BOSS / TAIL_STRONG / K13 / 37|3;3|11
boss-20,3889129261038164,7778258522076328,L|P / D6 / P29_LOW / TAIL_STRONG / KLOW,L|P,6,37,47,28,37,37,873,0.6774837155233159,false,false,false,RESCUED,L|3 / D6 / P29_LOW / TAIL_WEAK / KLOW / 3|11;7|3
boss-12,3889129261038172,7778258522076344,L|L / D0 / P29_LOW / TAIL_OK / KLOW,L|L,0,21,27,21,21,21,615,0.4772651604202052,false,false,false,RESCUED,3|L / D0 / P29_LOW / TAIL_WEAK / KLOW / 19|3;3|5
boss-10,3889129261038174,7778258522076348,19|P / D20 / P29_LOW / TAIL_MID / KLOW,19|P,20,10,13,10,10,10,145,0.11252593213159309,false,false,false,RESCUED,L|5 / DOTHER / P29_LOW / TAIL_WEAK / KLOW / 3|3;L|41
boss-6,3889129261038178,7778258522076356,19|L / D18 / P29_LOW / TAIL_STRONG / KLOW,19|L,18,33,40,30,33,33,849,0.6588587336532589,false,false,false,RESCUED,3|P / D18 / P29_LOW / TAIL_WEAK / KLOW / 19|3;3|5
boss-4,3889129261038180,7778258522076360,P|L / D8 / P29_LOW / TAIL_STRONG / KLOW,P|L,8,33,41,29,33,33,349,0.2708382780270758,false,false,false,RESCUED,P|L / DOTHER / P29_LOW / TAIL_WEAK / KLOW / 3|3;L|11
boss-2,3889129261038182,7778258522076364,L|L / D18 / P29_LOW / TAIL_STRONG / KLOW,L|L,18,26,34,26,26,26,639,0.49589014229026196,false,false,false,RESCUED,L|3 / D18 / P29_LOW / TAIL_WEAK / KLOW / 3|L;5|3
boss+2,3889129261038186,7778258522076372,L|L / D4 / P29_LOW / TAIL_STRONG / KLOW,L|L,4,39,49,28,39,39,527,0.408973560229997,false,false,false,RESCUED,5|L / DOTHER / P29_LOW / TAIL_WEAK / KLOW / L|L;3|3
boss+4,3889129261038188,7778258522076376,L|L / D0 / P29_LOW / TAIL_STRONG / KLOW,L|L,0,34,41,29,34,34,975,0.756639888471057,false,false,false,RESCUED,L|3 / D0 / P29_LOW / TAIL_WEAK / KLOW / 3|37;5|3
boss+6,3889129261038190,7778258522076380,L|47 / D24 / P29_LOW / TAIL_STRONG / KLOW,L|47,24,27,36,27,27,27,597,0.46329642401766263,false,false,false,RESCUED,3|L / D24 / P29_LOW / TAIL_WEAK / KLOW / P|3;3|5
